,name
484,Gargoyleosaurus
485,Garrigatitan
486,Garudimimus
487,Gasosaurus
488,Gasparinisaura
489,Gastonia (dinosaur)
490,Geminiraptor
491,Genusaurus
492,Genyodectes
493,Geosaurus
494,Geranosaurus
495,Gideonmantellia
496,Giganotosaurus
497,Gigantoraptor
498,Gigantosaurus
499,Gigantoscelus
500,Gigantspinosaurus
501,Gilmoreosaurus
502,Giraffatitan
503,Glacialisaurus
504,Glishades
505,Glyptodontopelta
506,Gnathovorax
507,Gobihadros
508,Gobiraptor
509,Gobisaurus
510,Gobititan
511,Gobivenator
512,Gojirasaurus
513,Gondwanatitan
514,Gongbusaurus
515,Gongpoquansaurus
516,Gongxianosaurus
517,Gorgosaurus
518,Goyocephale
519,Graciliceratops
520,Graciliraptor
521,Gracilisuchus
522,Gravitholus
523,Gresslyosaurus
524,Gryphoceratops
525,Gryponyx
526,Gryposaurus
527,Guaibasaurus
528,Gualicho
529,Guanlong
530,Guemesia
531,Gwyneddosaurus
532,Gyposaurus
533,Hadrosaurus
534,Haestasaurus
535,Hagryphus
536,Hallopus
537,Halszkaraptor
538,Halticosaurus
539,Hamititan
540,Hanssuesia
541,Haplocanthosaurus
542,Haplocheirus
543,Harpymimus
544,Haya griva
545,Heishansaurus
546,Helioceratops
547,Heptasteornis
548,Herbstosaurus
549,Herrerasaurus
550,Hesperonychus
551,Hesperornithoides
552,Hesperosaurus
553,Heterodontosaurus
554,Hexing
555,Hexinlusaurus
556,Heyuannia
557,Hierosaurus
558,Hippodraco
559,Histriasaurus
560,Homalocephale
561,Honghesaurus
562,Hoplitosaurus
563,Horshamosaurus
564,Hortalotarsus
565,Huabeisaurus
566,Hualianceratops
567,Huallasaurus
568,Huanansaurus
569,Huanghetitan
570,Huangshanlong
571,Huaxiagnathus
572,Huayangosaurus
573,Hudiesaurus
574,Huehuecanauhtlus
575,Huinculsaurus
576,Hulsanpes
577,Hungarosaurus
578,Hylaeosaurus
579,Hypacrosaurus
580,Hyperodapedon
581,Hypselorhachis
582,Hypselosaurus
583,Hypselospinus
584,Hypsibema
585,Hypsibema missouriensis
586,Hypsilophodon
587,Hypsirhophus
588,Iberospinus
589,Ichthyosaur
590,Ichthyovenator
591,Ignavusaurus
592,Ignotosaurus
593,Iguanacolossus
594,Iguanodon
595,Iliosuchus
596,Ilokelesia
597,Imperobator
598,Incisivosaurus
599,Indosaurus
600,Indosuchus
601,Ingentia
602,Inosaurus
603,Invictarx
604,Irisosaurus
605,Irritator
606,Isaberrysaura
607,Isanosaurus
608,Isasicursor
609,Ischioceratops
610,Isisaurus
611,Issi
612,Itapeuasaurus
613,Itemirus
614,Iuticosaurus
615,Iyuku
616,Jainosaurus
617,Jakapil
618,Jaklapallisaurus
619,Janenschia
620,Jaxartosaurus
621,Jeholosaurus
622,Jeyawati
623,Jianchangosaurus
624,Jiangjunosaurus
625,Jiangshanosaurus
626,Jiangxisaurus
627,Jianianhualong
628,Jinbeisaurus
629,Jinfengopteryx
630,Jingshanosaurus
631,Jintasaurus
632,Jinyunpelta
633,Jinzhousaurus
634,Jiutaisaurus
635,Jobaria
636,Jubbulpuria
637,Judiceratops
638,Juratyrant
639,Juravenator
640,Kaatedocus
641,Kaijiangosaurus
642,Kaijutitan
643,Kakuru
644,Kamuysaurus
645,Kangnasaurus
646,Kansaignathus
647,Karongasaurus
648,Katepensaurus
649,Kayentavenator
650,Kazaklambia
651,Kelmayisaurus
652,Kelumapusaura
653,Kemkemia
654,Kentrosaurus
655,Kerberosaurus
656,Khaan
657,Kholumolumo
658,Khulsanurus
659,Kileskus
660,Kinnareemimus
661,Klamelisaurus
662,Kol ghuva
663,Koparion
664,Koreaceratops
665,Koreanosaurus
666,Koshisaurus
667,Kosmoceratops
668,Kotasaurus
669,Koutalisaurus
670,Kritosaurus
671,Kryptops
672,Krzyzanowskisaurus
673,Kulceratops
674,Kulindadromeus
675,Kunbarrasaurus
676,Kundurosaurus
677,Kuru kulla
678,Kurupi itaata
679,Kuszholia
680,Kwanasaurus
681,Labocania
682,Laevisuchus
683,Lagerpeton
684,Lagosuchus
685,Laiyangosaurus
686,Lajasvenator
687,Lambeosaurus
688,Lametasaurus
689,Lamplughsaura
690,Lanzhousaurus
691,Laosaurus
692,Lapampasaurus
693,Laplatasaurus
694,Lapparentosaurus
695,Laquintasaura
696,Lariosaurus
697,Latenivenatrix
698,Latirhinus
699,Lavocatisaurus
700,Leaellynasaura
701,Ledumahadi
702,Leinkupal
703,Leonerasaurus
704,Lepidus praecisio
705,Leptoceratops
706,Leshansaurus
707,Lesothosaurus
708,Lessemsaurus
709,Levnesovia
710,Lewisuchus
711,Lexovisaurus
712,Leyesaurus
713,Liaoceratops
714,Liaoningosaurus
715,Liaoningotitan
716,Liaoningvenator
717,Libycosaurus
718,Ligabueino
719,Ligabuesaurus
720,Liliensternus
721,Limaysaurus
722,Limusaurus
723,Lingwulong
724,Lingyuanosaurus
725,Linhenykus
726,Linheraptor
727,Linhevenator
728,Lirainosaurus
729,Lisboasaurus
730,Liubangosaurus
731,Llukalkan
732,Lohuecotitan
733,Loncosaurus
734,Longisquama
735,Lophorhothon
736,Lophostropheus
737,Lophotrochozoa
738,Loricatosaurus
739,Loricosaurus
740,Losillasaurus
741,Lourinhanosaurus
742,Lourinhasaurus
743,Luanchuanraptor
744,Lucianosaurus
745,Lucianovenator
746,Lufengosaurus
747,Lukousaurus
748,Luoyanggia
749,Lurdusaurus
750,Lusitanosaurus
751,Lusotitan
752,Lusovenator
753,Lutungutali
754,Lycorhinus
755,Lythronax
756,Macelognathus
757,Machairasaurus
758,Machairoceratops
759,Machimosaurus
760,Macrocollum
761,Macrodontophion
762,Macrogryphosaurus
763,Macrurosaurus
764,Magnamanus
765,Magnapaulia
766,Magnosaurus
767,Magyarosaurus
768,Mahakala omnogovae
769,Mahuidacursor
770,Maiasaura
771,Maip
772,Majungasaurus
773,Malarguesaurus
774,Malawisaurus
775,Maleevus
776,Mamenchisaurus
777,Mandschurosaurus
778,Manidens
779,Mansourasaurus
780,Mantellisaurus
781,Mapusaurus
782,Maraapunisaurus
783,Marasuchus
784,Marmarospondylus
785,Marshosaurus
786,Martharaptor
787,Masiakasaurus
788,Massospondylus
789,Matheronodon
790,Maxakalisaurus
791,Mbiresaurus
792,Medusaceratops
793,Megalosaurus
794,Megapnosaurus
795,Megaraptor
796,Melanorosaurus
797,Mendozasaurus
798,Menefeeceratops
799,Menucocelsior
800,Mercuriceratops
801,Meroktenos
802,Metriacanthosaurus
803,Microceratus
804,Microcoelus
805,Microhadrosaurus
806,Micropachycephalosaurus
807,Microraptor
808,Microvenator
809,Mierasaurus
810,Minmi paravertebra
811,Minotaurasaurus
812,Miragaia longicollum
813,Mirischia
814,Mnyamawamtuka
815,Moabosaurus
816,Mochlodon
817,Mongolosaurus
818,Mongolostegus
819,Monkonosaurus
820,Monoclonius
821,Monolophosaurus
822,Mononykus
823,Montanoceratops
824,Morelladon
